NAME                              READY   STATUS    RESTARTS   AGE
runtime-latest-6bc67fd44b-zlzqf   0/1     ContainerCreating   0          9s
broker-latest-fd877b768-vk5ms     0/1     Running             0          9s
orders-66fdd7bd8c-xrr7g           1/1     Running             0          9s
api-latest-58d9d65655-hwwkn       0/1     Running             0          9s
store-latest-fd59d8888-4kw9r      0/1     Running             0          10s
ui-7bc6d569b-6mklk                1/1     Running             0          10s
auth-latest-6d7cf54788-fdts7      0/1     Running             0          10s
products-6d56579fc-h2p2c          1/1     Running             0          10s
orders-mongodb-57778486fd-wblh6   1/1     Running             0          11s
proxy-latest-6b8fb9ff67-lmllp     0/1     Running             0          11s
runtime-latest-6bc67fd44b-zlzqf   0/1     Running             0          11s
network-latest-8db575747-f65rz    0/1     Running             0          12s
registry-latest-ffc9b4bd4-f2hsc   0/1     Running             0          15s
supply-78968f4c84-8jklz           1/1     Running             0          16s
users-596646bb9c-lrqt4            1/1     Running             0          16s
cart-598b6cdc77-nmsdw             1/1     Running             0          16s
events-latest-5fb699c7d4-wgbvs    0/1     Running             0          16s
users-596646bb9c-lrqt4            0/1     Error               0          17s
purchase-5d97fb9b8c-hkkhs         1/1     Running             0          17s
users-596646bb9c-lrqt4            1/1     Running             1          18s
products-mongo-6cc7b978c8-ld6ft   1/1     Running             0          18s
cart-mongo-8c74d75d4-8kmbj        1/1     Running             0          18s
auth-latest-6d7cf54788-fdts7      1/1     Running             0          19s
users-postgres-0                  1/1     Running             0          19s
users-596646bb9c-lrqt4            0/1     Error               1          19s
users-596646bb9c-lrqt4            0/1     CrashLoopBackOff    1          20s
store-latest-fd59d8888-4kw9r      1/1     Running             0          21s
api-latest-58d9d65655-hwwkn       1/1     Running             0          21s
network-latest-8db575747-f65rz    1/1     Running             0          24s
config-latest-6c4bd5d5bd-kvsg7    1/1     Running             0          25s
broker-latest-fd877b768-vk5ms     1/1     Running             0          26s
proxy-latest-6b8fb9ff67-lmllp     1/1     Running             0          26s
runtime-latest-6bc67fd44b-zlzqf   1/1     Running             0          26s
events-latest-5fb699c7d4-wgbvs    1/1     Running             0          28s
registry-latest-ffc9b4bd4-f2hsc   1/1     Running             0          31s
users-596646bb9c-lrqt4            1/1     Running             2          33s
products-6d56579fc-h2p2c          1/1     Terminating         0          10m
broker-latest-fd877b768-vk5ms     1/1     Terminating         0          10m
config-latest-6c4bd5d5bd-kvsg7    1/1     Terminating         0          10m
network-latest-8db575747-f65rz    1/1     Terminating         0          10m
runtime-latest-6bc67fd44b-zlzqf   1/1     Terminating         0          10m
